Country,Indicator,Value
Australia,Employees working very long hours,12.5
Austria,Employees working very long hours,5.3
Belgium,Employees working very long hours,4.3
Canada,Employees working very long hours,3.3
Czech Republic,Employees working very long hours,4.5
Denmark,Employees working very long hours,1.1
Finland,Employees working very long hours,3.6
France,Employees working very long hours,7.7
Germany,Employees working very long hours,3.9
Greece,Employees working very long hours,4.5
Hungary,Employees working very long hours,1.5
Iceland,Employees working very long hours,11.7
Ireland,Employees working very long hours,4.7
Italy,Employees working very long hours,3.3
Luxembourg,Employees working very long hours,2.8
Mexico,Employees working very long hours,27.0
Netherlands,Employees working very long hours,0.3
New Zealand,Employees working very long hours,14.0
Norway,Employees working very long hours,1.4
Poland,Employees working very long hours,4.2
Portugal,Employees working very long hours,5.6
Slovak Republic,Employees working very long hours,4.2
Spain,Employees working very long hours,2.5
Sweden,Employees working very long hours,0.9
Switzerland,Employees working very long hours,0.4
Türkiye,Employees working very long hours,25.0
United Kingdom,Employees working very long hours,10.8
United States,Employees working very long hours,10.4
Brazil,Employees working very long hours,5.6
Chile,Employees working very long hours,7.7
Estonia,Employees working very long hours,2.2
Israel,Employees working very long hours,14.1
Latvia,Employees working very long hours,1.6
Russia,Employees working very long hours,0.1
Slovenia,Employees working very long hours,5.6
South Africa,Employees working very long hours,15.4
OECD - Total,Employees working very long hours,10.2
Australia,Time devoted to leisure and personal care,14.36
Austria,Time devoted to leisure and personal care,14.51
Belgium,Time devoted to leisure and personal care,15.52
Canada,Time devoted to leisure and personal care,14.57
Finland,Time devoted to leisure and personal care,15.17
France,Time devoted to leisure and personal care,16.2
Germany,Time devoted to leisure and personal care,15.62
Greece,Time devoted to leisure and personal care,15.03
Hungary,Time devoted to leisure and personal care,15.08
Ireland,Time devoted to leisure and personal care,14.54
Italy,Time devoted to leisure and personal care,16.47
Japan,Time devoted to leisure and personal care,14.1
Korea,Time devoted to leisure and personal care,14.83
Netherlands,Time devoted to leisure and personal care,15.45
New Zealand,Time devoted to leisure and personal care,14.87
Norway,Time devoted to leisure and personal care,15.67
Poland,Time devoted to leisure and personal care,14.68
Spain,Time devoted to leisure and personal care,15.75
Türkiye,Time devoted to leisure and personal care,14.61
United Kingdom,Time devoted to leisure and personal care,14.94
United States,Time devoted to leisure and personal care,14.57
Estonia,Time devoted to leisure and personal care,14.98
OECD - Total,Time devoted to leisure and personal care,15.07
Colombia,Stakeholder engagement for developing regulations,1.4
Lithuania,Stakeholder engagement for developing regulations,2.4
Colombia,Dwellings without basic facilities,12.3
Lithuania,Dwellings without basic facilities,11.8
Lithuania,Housing expenditure,18.4
Colombia,Feeling safe walking alone at night,50.0
Lithuania,Feeling safe walking alone at night,62.0
Colombia,Rooms per person,1.0
Lithuania,Rooms per person,1.5
Lithuania,Household net adjusted disposable income,26976.0
Lithuania,Household net wealth,182039.0
Colombia,Employment rate,58.0
Lithuania,Employment rate,72.0
Colombia,Long-term unemployment rate,1.1
Lithuania,Long-term unemployment rate,2.5
Lithuania,Personal earnings,31811.0
Colombia,Quality of support network,80.0
Lithuania,Quality of support network,89.0
Colombia,Educational attainment,59.0
Lithuania,Educational attainment,94.0
Colombia,Student skills,406.0
Lithuania,Student skills,480.0
Colombia,Years in education,14.0
Lithuania,Years in education,18.0
Colombia,Air pollution,22.6
Lithuania,Air pollution,10.5
Colombia,Water quality,82.0
Lithuania,Water quality,83.0
Colombia,Voter turnout,53.0
Lithuania,Voter turnout,57.0
Colombia,Life expectancy,76.7
Lithuania,Life expectancy,76.4
Colombia,Self-reported health,80.0
Lithuania,Self-reported health,46.0
Colombia,Life satisfaction,5.7
Lithuania,Life satisfaction,6.4
Colombia,Homicide rate,23.1
Lithuania,Homicide rate,2.5
Colombia,Employees working very long hours,23.7
Lithuania,Employees working very long hours,1.0
Costa Rica,Stakeholder engagement for developing regulations,1.8
Costa Rica,Dwellings without basic facilities,2.3
Costa Rica,Housing expenditure,17.0
Costa Rica,Feeling safe walking alone at night,47.0
Costa Rica,Rooms per person,1.2
Costa Rica,Household net adjusted disposable income,16517.0
Costa Rica,Employment rate,55.0
Costa Rica,Long-term unemployment rate,1.5
Costa Rica,Quality of support network,82.0
Costa Rica,Educational attainment,43.0
Costa Rica,Student skills,415.0
Costa Rica,Air pollution,17.5
Costa Rica,Water quality,87.0
Costa Rica,Voter turnout,66.0
Costa Rica,Life expectancy,80.5
Costa Rica,Self-reported health,73.0
Costa Rica,Life satisfaction,6.3
Costa Rica,Homicide rate,10.0
Costa Rica,Employees working very long hours,22.0
