,Country,Indicator,Value
1555,Japan,Self-reported health,37.0
1556,Korea,Self-reported health,34.0
1557,Luxembourg,Self-reported health,72.0
1558,Mexico,Self-reported health,66.0
1559,Netherlands,Self-reported health,75.0
1560,New Zealand,Self-reported health,86.0
1561,Norway,Self-reported health,75.0
1562,Poland,Self-reported health,60.0
1563,Portugal,Self-reported health,50.0
1564,Slovak Republic,Self-reported health,65.0
1565,Spain,Self-reported health,75.0
1566,Sweden,Self-reported health,76.0
1567,Switzerland,Self-reported health,81.0
1568,Türkiye,Self-reported health,67.0
1569,United Kingdom,Self-reported health,73.0
1570,United States,Self-reported health,88.0
1571,Chile,Self-reported health,60.0
1572,Estonia,Self-reported health,57.0
1573,Israel,Self-reported health,74.0
1574,Latvia,Self-reported health,47.0
1575,Russia,Self-reported health,43.0
1576,Slovenia,Self-reported health,67.0
1577,OECD - Total,Self-reported health,68.0
1722,Australia,Life satisfaction,7.1
1723,Austria,Life satisfaction,7.2
1724,Belgium,Life satisfaction,6.8
1725,Canada,Life satisfaction,7.0
1726,Czech Republic,Life satisfaction,6.9
1727,Denmark,Life satisfaction,7.5
1728,Finland,Life satisfaction,7.9
1729,France,Life satisfaction,6.7
1730,Germany,Life satisfaction,7.3
1731,Greece,Life satisfaction,5.8
1732,Hungary,Life satisfaction,6.0
1733,Iceland,Life satisfaction,7.6
1734,Ireland,Life satisfaction,7.0
1735,Italy,Life satisfaction,6.5
1736,Japan,Life satisfaction,6.1
1737,Korea,Life satisfaction,5.8
1738,Luxembourg,Life satisfaction,7.4
1739,Mexico,Life satisfaction,6.0
1740,Netherlands,Life satisfaction,7.5
1741,New Zealand,Life satisfaction,7.3
1742,Norway,Life satisfaction,7.3
1743,Poland,Life satisfaction,6.1
1744,Portugal,Life satisfaction,5.8
1745,Slovak Republic,Life satisfaction,6.5
1746,Spain,Life satisfaction,6.5
1747,Sweden,Life satisfaction,7.3
1748,Switzerland,Life satisfaction,7.5
1749,Türkiye,Life satisfaction,4.9
1750,United Kingdom,Life satisfaction,6.8
1751,United States,Life satisfaction,7.0
1752,Brazil,Life satisfaction,6.1
1753,Chile,Life satisfaction,6.2
1754,Estonia,Life satisfaction,6.5
1755,Israel,Life satisfaction,7.2
1756,Latvia,Life satisfaction,6.2
1757,Russia,Life satisfaction,5.5
1758,Slovenia,Life satisfaction,6.5
1759,South Africa,Life satisfaction,4.9
1760,OECD - Total,Life satisfaction,6.7
1915,Australia,Homicide rate,0.9
1916,Austria,Homicide rate,0.5
1917,Belgium,Homicide rate,1.1
1918,Canada,Homicide rate,1.2
1919,Czech Republic,Homicide rate,0.7
1920,Denmark,Homicide rate,0.5
1921,Finland,Homicide rate,1.2
1922,France,Homicide rate,0.4
1923,Germany,Homicide rate,0.4
1924,Greece,Homicide rate,1.0
1925,Hungary,Homicide rate,0.9
1926,Iceland,Homicide rate,0.3
1927,Ireland,Homicide rate,0.5
1928,Italy,Homicide rate,0.5
1929,Japan,Homicide rate,0.2
1930,Korea,Homicide rate,0.8
1931,Luxembourg,Homicide rate,0.2
1932,Mexico,Homicide rate,26.8
1933,Netherlands,Homicide rate,0.6
1934,New Zealand,Homicide rate,1.3
1935,Norway,Homicide rate,0.6
1936,Poland,Homicide rate,0.5
1937,Portugal,Homicide rate,0.7
1938,Slovak Republic,Homicide rate,0.8
1939,Spain,Homicide rate,0.7
1940,Sweden,Homicide rate,1.1
1941,Switzerland,Homicide rate,0.3
1942,Türkiye,Homicide rate,1.0
1943,United Kingdom,Homicide rate,0.2
1944,United States,Homicide rate,6.0
1945,Brazil,Homicide rate,19.0
1946,Chile,Homicide rate,2.4
1947,Estonia,Homicide rate,1.9
1948,Israel,Homicide rate,1.5
1949,Latvia,Homicide rate,3.7
1950,Russia,Homicide rate,4.8
1951,Slovenia,Homicide rate,0.4
1952,South Africa,Homicide rate,13.7
1953,OECD - Total,Homicide rate,2.6
2032,Australia,Employees working very long hours,12.5
2033,Austria,Employees working very long hours,5.3
2034,Belgium,Employees working very long hours,4.3
2035,Canada,Employees working very long hours,3.3
2036,Czech Republic,Employees working very long hours,4.5
2037,Denmark,Employees working very long hours,1.1
2038,Finland,Employees working very long hours,3.6
2039,France,Employees working very long hours,7.7
2040,Germany,Employees working very long hours,3.9
2041,Greece,Employees working very long hours,4.5
2042,Hungary,Employees working very long hours,1.5
2043,Iceland,Employees working very long hours,11.7
2044,Ireland,Employees working very long hours,4.7
2045,Italy,Employees working very long hours,3.3
2046,Luxembourg,Employees working very long hours,2.8
2047,Mexico,Employees working very long hours,27.0
2048,Netherlands,Employees working very long hours,0.3
2049,New Zealand,Employees working very long hours,14.0
2050,Norway,Employees working very long hours,1.4
2051,Poland,Employees working very long hours,4.2
2052,Portugal,Employees working very long hours,5.6
2053,Slovak Republic,Employees working very long hours,4.2
2054,Spain,Employees working very long hours,2.5
2055,Sweden,Employees working very long hours,0.9
2056,Switzerland,Employees working very long hours,0.4
2057,Türkiye,Employees working very long hours,25.0
2058,United Kingdom,Employees working very long hours,10.8
2059,United States,Employees working very long hours,10.4
2060,Brazil,Employees working very long hours,5.6
2061,Chile,Employees working very long hours,7.7
2062,Estonia,Employees working very long hours,2.2
2063,Israel,Employees working very long hours,14.1
2064,Latvia,Employees working very long hours,1.6
2065,Russia,Employees working very long hours,0.1
2066,Slovenia,Employees working very long hours,5.6
2067,South Africa,Employees working very long hours,15.4
2068,OECD - Total,Employees working very long hours,10.2
2143,Australia,Time devoted to leisure and personal care,14.36
2144,Austria,Time devoted to leisure and personal care,14.51
2145,Belgium,Time devoted to leisure and personal care,15.52
2146,Canada,Time devoted to leisure and personal care,14.57
2147,Finland,Time devoted to leisure and personal care,15.17
2148,France,Time devoted to leisure and personal care,16.2
2149,Germany,Time devoted to leisure and personal care,15.62
2150,Greece,Time devoted to leisure and personal care,15.03
2151,Hungary,Time devoted to leisure and personal care,15.08
2152,Ireland,Time devoted to leisure and personal care,14.54
2153,Italy,Time devoted to leisure and personal care,16.47
2154,Japan,Time devoted to leisure and personal care,14.1
2155,Korea,Time devoted to leisure and personal care,14.83
2156,Netherlands,Time devoted to leisure and personal care,15.45
2157,New Zealand,Time devoted to leisure and personal care,14.87
2158,Norway,Time devoted to leisure and personal care,15.67
2159,Poland,Time devoted to leisure and personal care,14.68
2160,Spain,Time devoted to leisure and personal care,15.75
2161,Türkiye,Time devoted to leisure and personal care,14.61
2162,United Kingdom,Time devoted to leisure and personal care,14.94
2163,United States,Time devoted to leisure and personal care,14.57
2164,Estonia,Time devoted to leisure and personal care,14.98
2165,OECD - Total,Time devoted to leisure and personal care,15.07
2212,Colombia,Stakeholder engagement for developing regulations,1.4
2213,Lithuania,Stakeholder engagement for developing regulations,2.4
2214,Colombia,Dwellings without basic facilities,12.3
2215,Lithuania,Dwellings without basic facilities,11.8
2216,Lithuania,Housing expenditure,18.4
2217,Colombia,Feeling safe walking alone at night,50.0
2218,Lithuania,Feeling safe walking alone at night,62.0
2223,Colombia,Rooms per person,1.0
2224,Lithuania,Rooms per person,1.5
2225,Lithuania,Household net adjusted disposable income,26976.0
2226,Lithuania,Household net wealth,182039.0
2227,Colombia,Employment rate,58.0
2228,Lithuania,Employment rate,72.0
2233,Colombia,Long-term unemployment rate,1.1
2234,Lithuania,Long-term unemployment rate,2.5
2239,Lithuania,Personal earnings,31811.0
2240,Colombia,Quality of support network,80.0
2241,Lithuania,Quality of support network,89.0
2250,Colombia,Educational attainment,59.0
2251,Lithuania,Educational attainment,94.0
2256,Colombia,Student skills,406.0
2257,Lithuania,Student skills,480.0
2266,Colombia,Years in education,14.0
2267,Lithuania,Years in education,18.0
2272,Colombia,Air pollution,22.6
2273,Lithuania,Air pollution,10.5
2274,Colombia,Water quality,82.0
2275,Lithuania,Water quality,83.0
2280,Colombia,Voter turnout,53.0
2281,Lithuania,Voter turnout,57.0
2282,Colombia,Life expectancy,76.7
2283,Lithuania,Life expectancy,76.4
2288,Colombia,Self-reported health,80.0
2289,Lithuania,Self-reported health,46.0
2298,Colombia,Life satisfaction,5.7
2299,Lithuania,Life satisfaction,6.4
2308,Colombia,Homicide rate,23.1
2309,Lithuania,Homicide rate,2.5
2314,Colombia,Employees working very long hours,23.7
2315,Lithuania,Employees working very long hours,1.0
2320,Costa Rica,Stakeholder engagement for developing regulations,1.8
2321,Costa Rica,Dwellings without basic facilities,2.3
2322,Costa Rica,Housing expenditure,17.0
2323,Costa Rica,Feeling safe walking alone at night,47.0
2326,Costa Rica,Rooms per person,1.2
2327,Costa Rica,Household net adjusted disposable income,16517.0
2328,Costa Rica,Employment rate,55.0
2331,Costa Rica,Long-term unemployment rate,1.5
2334,Costa Rica,Quality of support network,82.0
2339,Costa Rica,Educational attainment,43.0
2342,Costa Rica,Student skills,415.0
2347,Costa Rica,Air pollution,17.5
2348,Costa Rica,Water quality,87.0
2351,Costa Rica,Voter turnout,66.0
2352,Costa Rica,Life expectancy,80.5
2355,Costa Rica,Self-reported health,73.0
2358,Costa Rica,Life satisfaction,6.3
2363,Costa Rica,Homicide rate,10.0
2366,Costa Rica,Employees working very long hours,22.0
